CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
OTR	Total general government revenue	Recettes des administrations publiques totales	Einnahmen des Staates, total				
P31_CLV2010	Final consumption expenditure - chain linked volumes reference year 2010	Dépense de consommation finale - volumes chaînées année de référence 2010	Konsumausgaben - verkettete Volumen Referenzjahr 2010				
P31_CLV2020	Final consumption expenditure - Chain linked volumes reference year 2020	Dépense de consommation finale - volumes chaînées année de référence 2020	Konsumausgaben - verkettete Volumen Referenzjahr 2020				
P51G_CLV2010	Gross fixed capital formation - chain linked volumes reference year 2010	Formation brute de capital fixe  - volumes chaînées année de référence 2010	Bruttoanlageinvestitionen - verkettete Volumen Referenzjahr 2010				
P51G_CLV2020	Gross fixed capital formation - Chain linked volumes reference year 2020	Formation brute de capital fixe  - volumes chaînées année de référence 2020	Bruttoanlageinvestitionen - verkettete Volumen Referenzjahr 2020				
B1G_CLV2010	Value added, gross - chain linked volumes reference year 2010	Valeur ajoutée, brute - volumes chaînées année de référence 2010	Bruttowertschöpfung - verkettete Volumen Referenzjahr 2010				
B1G_CLV2020	Value added, gross - Chain linked volumes reference year 2020	Valeur ajoutée, brute - volumes chaînées année de référence 2020	Bruttowertschöpfung - verkettete Volumen Referenzjahr 2020				
EMP_PS_DC	Total employment (thousands of persons) domestic concept	Emploi total (milliers des personnes)	Gesamterwerbstätigkeit (Tausende v. Personen)				
EMP_HW_DC	Total employment (thousands of hours worked) domestic concept	Emploi total (milliers des heures travaillées)	Gesamterwerbstätigkeit (Tausende v. Arbeitsstunden)				
P51G_N111G	Assets, gross - dwellings	Actifs, bruts - logements	Bruttovermögensgegenstände - wohnbauten				
P51G_N112G	Assets, gross - other buildings and structures	Actifs, bruts - autres bâtiments et ouvrages de génie civil	Bruttovermögensgegenstände - nichtwohnbauten				
P51G_N1121G	Assets, gross - buildings other than dwellings	Actifs, bruts - bâtiments non résidentiels	Bruttovermögensgegenstände - nichtwohngebäude				
P51G_N1122G	Assets, gross - other structures	Actifs, bruts - autres ouvrages de génie civil	Bruttovermögensgegenstände - sonstige bauten				
P51G_N11G_CLV2010	Assets, gross - fixed assets by type of asset - chain linked volumes reference year 2010	Actifs, bruts - actifs fixes par type d ' actifs - volumes chaînées année de référence 2010	Bruttovermögensgegenstände - anlagegüter - verkettete volumen referenzjahr 2010				
P51G_N11G_CLV2020	Assets, gross - Fixed assets by type of asset - Chain linked volumes reference year 2020	Actifs, bruts - Actifs fixes par type d’actifs - volumes chaînées année de référence 2020	Bruttovermögensgegenstände - Anlagegüter - verkettete Volumen Referenzjahr 2020				
P51G_N111G_CLV2010	Assets, gross - dwellings - chain linked volumes reference year 2010	Actifs, bruts - logements - volumes chaînées année de référence 2010	Bruttovermögensgegenstände - wohnbauten - verkettete volumen referenzjahr 2010				
P51G_N111G_CLV2020	Assets, gross - Dwellings - Chain linked volumes reference year 2020	Actifs, bruts - Logements - volumes chaînées année de référence 2020	Bruttovermögensgegenstände - Wohnbauten- verkettete Volumen Referenzjahr 2020				
P51G_N112G_CLV2010	Assets, gross - other buildings and structures - chain linked volumes reference year 2010	Actifs, bruts - autres bâtiments et ouvrages de génie civil - volumes chaînées année de référence 2010	Bruttovermögensgegenstände - nichtwohnbauten - verkettete volumen referenzjahr 2010				
P51G_N112G_CLV2020	Assets, gross - Other buildings and structures - Chain linked volumes reference year 2020	Actifs, bruts - Autres bâtiments et ouvrages de génie civil - volumes chaînées année de référence 2020	Bruttovermögensgegenstände - Nichtwohnbauten- verkettete Volumen Referenzjahr 2020				
P51G_N1121G_CLV2010	Assets, gross - buildings other than dwellings - chain linked volumes reference year 2010	Actifs, bruts - bâtiments non résidentiels - volumes chaînées année de référence 2010	Bruttovermögensgegenstände - nichtwohngebäude -  verkettete volumen referenzjahr 2010				
P51G_N1121G_CLV2020	Assets, gross - Buildings other than dwellings - Chain linked volumes reference year 2020	Actifs, bruts - Bâtiments non résidentiels - volumes chaînées année de référence 2020	Bruttovermögensgegenstände - Nichtwohngebäude- verkettete Volumen Referenzjahr 2020				
P51G_N1122G_CLV2010	Assets, gross - other structures - chain linked volumes reference year 2010	Actifs, bruts - autres ouvrages de génie civil - volumes chaînées année de référence 2010	Bruttovermögensgegenstände - sonstige bauten - verkettete volumen referenzjahr 2010				
P51G_N1122G_CLV2020	Assets, gross - Other structures - Chain linked volumes reference year 2020	Actifs, bruts - Autres ouvrages de génie civil - volumes chaînées année de référence 2020	Bruttovermögensgegenstände - Sonstige Bauten- verkettete Volumen Referenzjahr 2020				
B6G_R_HAB	Gross disposable income of households in real terms per capita	Revenu disponible brut des ménages en termes réels par habitant	Verfügbares Brutto-Einkommen (Ausgabenkonzept) der Haushalte  pro Kopf				
B6G_R_HAB_2008	Gross disposable income of households in real terms per capita (2008=100)	Revenu disponible brut des ménages en termes réels par habitant (2008=100)	Verfügbares Brutto-Einkommen (Ausgabenkonzept) der Haushalte  pro Kopf (2008=100)				
B6G_R_HAB_2010	Gross disposable income of households in real terms per capita (2010=100)	Revenu disponible brut des ménages en termes réels par habitant (2010=100)	Verfügbares Brutto-Einkommen (Ausgabenkonzept) der Haushalte  pro Kopf (2010=100)				
B6G_R_HAB_GR	Gross disposable income of households in real terms per capita (percentage change on previous period)	Revenu disponible brut des ménages en termes réels par habitant (variation en pourcentage par rapport à la période précédente)	Verfügbares Brutto-Einkommen (Ausgabenkonzept) der Haushalte  pro Kopf (Prozentveränderung gegenüber der Vorperiode)				
B7G_R_HAB	Adjusted gross disposable income of households in real terms per capita (units of currency)	Revenu disponible brut ajusté des ménages en termes réels par habitant (unités monétaires)	Verfügbares Brutto-Einkommen (Verbrauchskonzept) der Haushalte in realen Größen pro Kopf (Währungseinheiten)				
B7G_R_HAB_2008	Adjusted gross disposable income of households in real terms per capita (2008=100)	Revenu disponible brut ajusté des ménages en termes réels par habitant (2008=100)	Verfügbares Brutto-Einkommen (Verbrauchskonzept) der Haushalte in realen Größen pro Kopf (2008=100)				
B7G_R_HAB_2010	Adjusted gross disposable income of households in real terms per capita (2010=100)	Revenu disponible brut ajusté des ménages en termes réels par habitant (2010=100)	Verfügbares Brutto-Einkommen (Verbrauchskonzept) der Haushalte in realen Größen pro Kopf (2010=100)				
B7G_R_HAB_GR	Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)	Revenu disponible brut ajusté des ménages en termes réels par habitant (variation en pourcentage par rapport à la période précédente)	Verfügbares Brutto-Einkommen (Verbrauchskonzept) der Haushalte in realen Größen pro Kopf (Prozentveränderung gegenüber der Vorperiode)				
P4_R_HAB	Actual final consumption in real terms per capita	Consommation finale effective des ménages en termes réels par habitant	Konsum (Verbrauchskonzept) der Haushalte in realen Größen pro Kopf				
P4_R_HAB_GR	Actual final consumption in real terms per capita (percentage change on previous period)	Consommation finale effective des ménages en termes réels par habitant (variation en pourcentage par rapport à la période précédente)	Konsum (Verbrauchskonzept) der Haushalte in realen Größen pro Kopf (Prozentveränderung gegenüber der Vorperiode)				
SRG_S14_S15	Gross household saving rate (B8G/(B6G+D8Net)*100)	Taux d'épargne brut des ménages (B8G/(B6G+D8Net)*100)	Brutto-Sparquote der Haushalte (B8G/(B6G+D8Netto)*100)				
IRG_S14_S15	Gross investment rate of households (P51/(B6G+D8Net)*100)	Taux d'investissement (brut) des ménages (P51/(B6G+D8Net)*100)	Brutto-Investitionsrate der Haushalte (P51/(B6G+D8Net)*100)				
IRG_S11	Gross investment rate of non-financial corporations (P51/B1G*100)	Taux d'investissement (brut) des sociétés non-financières (P51/B1G*100)	Brutto-Investitionsrate der nichtfinanziellen Kapitalgesellschaften (P51/B1G*100)				
B2G_B3G_RAT_S11	Gross profit share of non-financial corporations (B2G_B3G/B1Q*100)	Part des profits bruts, en pourcentage de la valeur ajoutée brute des entreprises non-financières (B2G_B3G/B1Q*100)	Bruttogewinnquote nichtfinanzieller Kapitalgesellschaften (B2G_B3G/B1Q*100)				
P51G_RAT_GDP_S1	Total investment to GDP ratio (S1_P51G/B1GQ*100)	Ratio Investissement total/PIB au prix du marché (S1_P51G/B1GQ*100)	Ratio gesamte Investitionen/BIP zu Marktpreisen (S1_P51G/B1GQ*100)				
P51G_RAT_GDP_BUS	Business investment to GDP ratio (S11_S12_P51G/B1GQ*100)	Ratio Investissement des entreprises/PIB au prix du marché (S11_S12_P51G/B1GQ*100)	Ratio Unternehmensinvestitionen/BIP zu Marktpreisen (S11_S12_P51G/B1GQ*100)				
P51G_RAT_GDP_S13	Government investment to GDP ratio (S13_P51G/B1GQ*100)	Ratio Investissement du gouvernement/PIB au prix du marché (S13_P51G/B1GQ*100)	Ratio Investitionen des Staats/BIP zu Marktpreisen (S13_P51G/B1GQ*100)				
P51G_RAT_GDP_S1M	Households investment to GDP ratio (S14_S15_P51G/B1GQ*100)	Ratio Investissement des ménages/PIB au prix du marché (S14_S15_P51G/B1GQ*100)	Ratio Investitionen der Haushalte/BIP zu Marktpreisen (S14_S15_P51G/B1GQ*100)				
ROCE_S11	Gross return on capital employed, before taxes, of non-financial corporations: B2G_B3G/(AF2+AF3+AF4+AF5, liab - assets)	Taux de rendement brut du capital, avant impôt, des entreprises non-financières: B2G_B3G/(AF2+AF3+AF4+AF5, passifs - actifs)	Brutto Kapitalrendite, vor Steuern, der nichtfinanziellen Kapitalgesellschaften: B2G_B3G/(AF2+AF3+AF4+AF5, passiva - activa)				
DIR_S11	Net debt-to-income ratio, after taxes, of non-financial corporations: (AF2+AF3+AF4, liab - assets)/(B4N-D5PAY)	Taux d'endettement net, après impôt, des entreprises non-financières: (AF2+AF3+AF4, passifs - actifs)/(B4N-D5PAY)	Netto-Schulden-Einkommensquotient, nach Steuern, der nichtfinanziellen Kapitalgesellschaften: (AF2+AF3+AF4, passiva - activa)/(B4N-D5PAY)				
ROE_S11	Net return on equity, after taxes, of non-financial corporations: (B4N-D5PAY)/(AF5, liab - assets)	Taux de rendement net, après impôt, des fonds propres des entreprises non-financières: (B4N-D5PAY)/(AF5, passifs - actifs)	Netto-Eigenkapitalrendite, nach Steuern, der nichtfinanziellen Kapitalgesellschaften: (B4N-D5PAY)/(AF5, passiva - activa)				
DIR_S14_S15	Gross debt-to-income ratio of households: (AF4, liab)/(B6G+D8net)	Taux d'endettement brut des ménages: (AF4, liab)/(B6G+D8net)	Brutto-Schulden-Einkommensquotient der privaten Haushalte: (AF4, liab)/(B6G+D8net)				
NFW_S14_S15	Household net financial assets ratio (BF90/(B6G+D8net))	Taux des actifs financiers nets des ménages (BF90/(B6G+D8net))	Nettogeldvermögensquote der Haushalte (BF90/(B6G+D8net))				
B2G	Operating surplus, gross	Excédent d'exploitation, brut	Bruttobetriebsüberschuss				
B5GQ	Gross national income at market prices	Revenu national brut aux prix du marché	Bruttonationaleinkommen zu Marktpreisen				
B5NQ	Net national income at market prices	Revenu national net aux prix du marché	Nettonationaleinkommen zu Marktpreisen				
P11	Market output	Production marchande	Marktproduktion				
P12	Output for own final use	Production pour usage final propre	Produktion für die Eigenverwendung				
D11PAY	Wages and salaries, expenditure	Salaires et traitements bruts, dépenses	Bruttolöhne und -gehälter, Ausgaben				
D12PAY	Employers' social contributions, expenditures	Cotisations sociales à la charge des employeurs, dépenses	Sozialbeiträge der Arbeitgeber, Ausgaben				
D3REC_S212	Subsidies, revenue from the EU institutions	Subventions, recettes provenant des institutions et organes de l’Union européenne	Subventionen empfangen von den Organen und Einrichtungen der Europäischen Union				
D51A_C1REC	Taxes on individual or household income including holding gains, revenue	Impôts sur le revenu des personnes physiques ou des ménages, y compris les gains de détention, recettes	Steuern auf das Einkommen von natürlichen Personen oder privaten Haushalten einschließlich Steuern auf Umbewertungsgewinne, Einnahmen				
D51B_C2REC	Taxes on the income or profits of corporations including holding gains, revenue	Impôts sur le revenu ou les bénéfices des sociétés, y compris les gains de détention, recettes	Steuern auf das Einkommen oder die Gewinne von Kapitalgesellschaften einschließlich Steuern auf Umbewertungsgewinne, Einnahmen				
D7REC_S212	Other current transfers, revenue, from the institutions and bodies of the European Union	Autres transferts courants, recettes, provenant des institutions et organes de l’Union européenne	Sonstige laufende Transfers, Einnahmen, von den Organen und Einrichtungen der Europäischen Union				
D71REC	Net non-life insurance premiums, revenue	Primes nettes d'assurance-dommages, recettes	Nettoprämien für Nichtlebensversicherungen, Einnahmen				
D72REC	Non-life insurance claims, revenue	Indemnités d'assurance-dommages, recettes	Nichtlebensversicherungsleistungen, Einnahmen				
D73REC	Current transfers within general government, revenue	Transferts courants entre administrations publiques, recettes	Laufende Transfers innerhalb des Staates, Einnahmen				
D74REC	Current international cooperation, revenue	Coopération internationale courante, recettes	Laufende Transfers im Rahmen internationaler Zusammenarbeit, Einnahmen				
D74REC_S212	Current international cooperation, revenue from the EU institutions	Coopération internationale courante, recettes, émanant des institutions et organes de l’Union européenne	Laufende Transfers im Rahmen internationaler Zusammenarbeit, Einnahmen, von den Organen und Einrichtungen der Europäischen Union				
D75REC	Miscellaneous current transfers, revenue	Transferts courants divers, recettes	Übrige laufende Transfers, Einnahmen				
D76REC	VAT- and GNI-based EU own resources, revenue	Ressources propres de l'UE fondées sur la TVA et le RNB, recettes	MwSt.- und BNE-basierte EU-Eigenmittel, Einnahmen				
D71PAY	Net non-life insurance premiums , expenditure	Primes nettes d'assurance-dommages, dépenses	Nettoprämien für Nichtlebensversicherungen, Ausgaben				
D72PAY	Non-life insurance claims , expenditure	Indemnités d'assurance-dommages, dépenses	Nichtlebensversicherungsleistungen, Ausgaben				
D73PAY	Current transfers within general government , expenditure	Transferts courants entre administrations publiques, dépenses	Laufende Transfers innerhalb des Staates, Ausgaben				
D74PAY	Current international cooperation, , expenditure	Coopération internationale courante, dépenses	Laufende Transfers im Rahmen internationaler Zusammenarbeit, Ausgaben				
D74PAY_S212	Current international cooperation, expenditure, to the institutions and bodies of the European Union	Coopération internationale courante, dépenses, émanant des institutions et organes de l’Union européenne	Laufende Transfers im Rahmen internationaler Zusammenarbeit, Ausgaben, an die Organe und Einrichtungen der Europäischen Union				
D75PAY	Miscellaneous current transfers , expenditure	Transferts courants divers, dépenses	Übrige laufende Transfers, Ausgaben				
D76PAY	VAT- and GNI-based EU own resources , expenditure	Ressources propres de l'UE fondées sur la TVA et le RNB, dépenses	MwSt.- und BNE-basierte EU-Eigenmittel, Ausgaben				
D9PAY_S2	Capital transfers, expenditure, to the rest of the world	Transferts en capital, dépenses, vers le reste du monde	Vermögenstransfers, Ausgaben, an die übrige Welt				
D9REC_S2	Capital transfers, revenue, from the rest of the world	Transferts en capital, recettes, du reste du monde	Vermögenstransfers, Einnahmen, aus der übrigen Welt				
D9PAY_S212	Capital transfers, expenditure, to the institutions and bodies of the EU	Transferts en capital, dépenses, vers les institutions et organes de l’Union européenne	Vermögenstransfers, Ausgaben, an die Organe und Einrichtungen der Europäischen Union				
D9REC_S212	Capital transfers, revenue from the institutions and bodies of the EU	Transferts en capital, recettes, des institutions et organes de l’Union européenne	Vermögenstransfers, Einnahmen, von den Organen und Einrichtungen der Europäischen Union				
D92REC	Investment grants, revenue	Aides à l'investissement, recettes	Investitionszuschüsse, Einnahmen				
D99REC	Other capital transfers, revenue	Autres transferts en capital, recettes	Sonstige Vermögenstransfers, Einnahmen				
D99PAY	Other capital transfers, expenditure	Autres transferts en capital, dépenses	Sonstige Vermögenstransfers, Ausgaben				
D41GREC	Total interest before FISIM allocation, revenue	Total des intérêts avant allocation des SIFIM, recettes	Zinsen insgesamt vor FISIM-Aufgliederung, Einnahmen				
D42REC	Distributed income of corporations, revenue	Revenus distribués des sociétés, recettes	Ausschüttungen und Entnahmen, Einnahmen				
D43REC	Reinvested earnings on foreign direct investment, revenue	Bénéfices réinvestis d'investissements directs étrangers, recettes	Reinvestierte Gewinne aus Direktinvestitionen, Einnahmen				
D44REC	Other investment income, revenue	Autres revenus d'investissements, recettes	Sonstige Kapitalerträge, Einnahmen				
D45REC	Rent, revenue	Loyers, recettes	Pacht, Einnahmen				
D41GPAY	Total interest before FISIM allocation, expenditure	Total des intérêts avant allocation des SIFIM, dépenses	Zinsen insgesamt vor FISIM-Aufgliederung, Ausgaben				
D42PAY	Distributed income of corporations, expenditure	Revenus distribués des sociétés, dépenses	Ausschüttungen und Entnahmen, Ausgaben				
D43PAY	Reinvested earnings on foreign direct investment, expenditure	Bénéfices réinvestis d'investissements directs étrangers, dépenses	Reinvestierte Gewinne aus Direktinvestitionen, Ausgaben				
D44PAY	Other investment income, expenditure	Autres revenus d'investissements, dépenses	Sonstige Kapitalerträge, Ausgaben				
D45PAY	Rent, expenditure	Loyers, dépenses	Pacht, Ausgaben				
D62PAY_GF1002	Social benefits other than social transfers in kind, expenditure, of which COFOG 10.2 old age	Prestations sociales autres que transferts sociaux en nature, dépenses, dont CFAP 10.2	Monetäre Sozialleistungen, Ausgaben, davon COFOG 10.2				
D62PAY_GF1003	Social benefits other than social transfers in kind, expenditure, of which COFOG 10.3 survivors	Prestations sociales autres que transferts sociaux en nature, dépenses, dont CFAP 10.3	Monetäre Sozialleistungen, Ausgaben, davon COFOG 10.3				
D62PAY_GF1005	Social benefits other than social transfers in kind, expenditure, of which COFOG 10.5 unemployment	Prestations sociales autres que transferts sociaux en nature, dépenses, dont CFAP 10.5	Monetäre Sozialleistungen, Ausgaben, davon COFOG 10.5				
ORCC	Own resource collection costs, revenue	frais de perception des ressources de l’UE, revenue	Erhebungskosten der EU Eigenmittel, Einnahmen				
P3_P5	Final consumption expenditure and gross capital formation	Dépense de consommation finale et formation brute de capital fixe	Konsumausgaben und Bruttoinvestitionen				
P3_P6	Final consumption expenditure, gross capital formation and exports of goods and services	Dépense de consommation finale, formation brute de capital fixe et exportations de biens et de services	Konsumausgaben, Bruttoinvestitionen und Exporte von Waren und Dienstleistungen				
D421	Dividends	Dividendes	Ausschüttungen				
D422	Withdrawals from the income of quasi-corporations	Prélèvements sur les revenus des quasi-sociétés	Gewinnentnahmen				
D441	Investment income attributable to insurance policy holders	Revenus d'investissements attribués aux assurés	Kapitalerträge aus Versicherungsverträgen				
D442	Investment income payable on pensions entitlements	Revenus d'investissements à payer sur des droits à pension	Kapitalerträge aus Ansprüchen gegenüber Alterssicherungssystemen				
D443	Investment income attributable to collective investment fund shareholders	Revenus d'investissements attribués aux détenteurs de parts de fonds d'investissement	Kapitalerträge aus Investmentfondsanteilen				
D613	Households' actual social contributions	Cotisations sociales effectives à la charge des ménages	Tatsächliche Sozialbeiträge der privaten Haushalte				
D614	Households' social contributions supplements	Suppléments de cotisations sociales à la charge des ménages	Sozialbeiträge aus Kapitalerträgen der privaten Haushalte aus Systemen der sozialen Sicherung				
B6G_R	Gross disposable income of households in real terms (percentage change on previous period)	Revenu disponible brut des ménages en termes réels (variation en pourcentage par rapport à la période précédente)	Verfügbares Brutto-Einkommen der Haushalte in realen Größen (Prozentveränderung gegenüber der Vorperiode)				
GD_F2	Government consolidated gross debt at face value - currency and deposits	Dette brute consolidée du gouvernement à la valeur faciale - numéraire et dépôts	Bruttoschuldenstand des Staates zum Nennwert (konsolidiert) - Bargeld und Einlagen				
GD_F3	Government consolidated gross debt at face value - debt securities	Dette brute consolidée du gouvernement à la valeur faciale - titres de créance	Bruttoschuldenstand des Staates zum Nennwert (konsolidiert) - Schuldverschreibungen				
GD_F31	Government consolidated gross debt at face value - short-term debt securities	Dette brute consolidée du gouvernement à la valeur faciale - titres de créance à court terme	Bruttoschuldenstand des Staates zum Nennwert (konsolidiert) - Kurzfristige Schuldverschreibungen				
GD_F32	Government consolidated gross debt at face value - long-term debt securities	Dette brute consolidée du gouvernement à la valeur faciale - titres de créance à long terme	Bruttoschuldenstand des Staates zum Nennwert (konsolidiert) - Langfristige Schuldverschreibungen				
GD_F4	Government consolidated gross debt at face value - loans	Dette brute consolidée du gouvernement à la valeur faciale - crédits	Bruttoschuldenstand des Staates zum Nennwert (konsolidiert) - Kredite				
GD_F41	Government consolidated gross debt at face value - short-term loans	Dette brute consolidée du gouvernement à la valeur faciale - crédits à court terme	Bruttoschuldenstand des Staates zum Nennwert (konsolidiert) - Kurzfristige Kredite				
GD_F42	Government consolidated gross debt at face value - long-term loans	Dette brute consolidée du gouvernement à la valeur faciale - crédits à long terme	Bruttoschuldenstand des Staates zum Nennwert (konsolidiert) - Langfristige Kredite				
AF_81L	Trade credits and advances - liabilities	Crédits commerciaux et avances - passifs	Handelskredite und Anzahlungen - Verbindlichkeiten				
ORWB	Working balance	Solde budgétaire (ou de comptabilité publique)	Arbeitssaldo				
FT	Financial transactions included in the working balance	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique)	Im Arbeitssaldo enthaltene finanzielle Transaktionen				
F4_ORWB	Financial transactions included in the working balance - loans (+/-)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - crédits (+/-)	Im Arbeitssaldo enthaltene finanzielle Transaktionen - Kredite (+/-)				
F5_ORWB	Financial transactions included in the working balance - equity and investment fund shares (+/-)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - actions (+/-)	Im Arbeitssaldo enthaltene finanzielle Transaktionen - Anteilsrechte und Anteile an Investmentfonds (+/-)				
F4_ACQ_ORWB	Financial transactions included in the working balance - loans; acquisition/increase (+)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - crédits; acquisition/augmentation (+)	Im Arbeitssaldo enthaltene finanzielle Transaktionen - Kredite; Erwerb/Anstieg (+)				
F4_DIS_ORWB	Financial transactions included in the working balance - loans; disposal/reduction (-)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - crédits; cession/réduction (-)	Im Arbeitssaldo enthaltene finanzielle Transaktionen - Kredite; Veräußerung/Rückgang (-)				
F5_ACQ_ORWB	Financial transactions included in the working balance - equity and investment fund shares; acquisition/increase (+)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - actions et parts de fonds d'investissement; acquisition/augmentation (+)	Im Arbeitssaldo enthaltene finanzielle Transaktionen - Anteilsrechte und Anteile an Investmentfonds; Erwerb/Anstieg (+)				
F5_DIS_ORWB	Financial transactions included in the working balance - equity and investment fund shares; disposal/reduction (-)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - actions et parts de fonds d'investissement; cession (-)/réduction	Im Arbeitssaldo enthaltene finanzielle Transaktionen - Anteilsrechte und Anteile an Investmentfonds; Veräußerung/Rückgang (-)				
FNDX_ORWB	Financial transactions included in the working balance - other financial transactions (+/-)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - autres transactions financières (+/-)	Im Arbeitssaldo enthaltene finanzielle Transaktionen - sonstige finanzielle Transaktionen (+/-)				
FNDL_ORWB	Financial transactions included in the working balance - other financial transactions (+/-), of which: transactions in debt liabilities (+/-)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - autres transactions financières, dont les opérations sur la dette (+/-)	Im Arbeitssaldo enthaltene finanzielle Transaktionen - sonstige finanzielle Transaktionen, davon Transaktionen mit Schuldtiteln (+/-)				
F71K_ORWB	Financial transactions included in the working balance - other financial transactions (+/-), of which: net settlements under swap contracts (+/-)	Transactions financières comprises dans le solde budgétaire (ou de comptabilité publique) - autres transactions financières (+/-), dont: les règlements nets liés aux accords de swaps (+/-)	Im Arbeitssaldo enthaltene finanzielle Transaktionen - sonstige finanzielle Transaktionen (+/-), davon: Ausgleichszahlungen aufgrund von Swapvereinbarungen (+/-)				
ORNF_ORWB	Non-financial transactions not included in the working balance	Transaction non-financières non comprises dans la balance budgétaire (ou de comptabilité publique)	Im Arbeitssaldo nicht enthaltene nichtfinanzielle Transaktionen				
ORD41A_ORWB	Difference between interest (D.41) paid (+) and accrued (-) included in the working balance	Différence entre intérêts (D.41) payés (+) et courus (-) comprises dans dans le solde budgétaire (ou de comptabilité publique)	Im Arbeitssaldo enthaltene Differenz zwischen gezahlten Zinsen (+) und aufgelaufenen Zinsen (D.41) (-)				
F8_ASS_ORWB	Other accounts receivable (+) included in the working balance	Autres comptes à recevoir (+) comprises dans dans le solde budgétaire (ou de comptabilité publique)	Im Arbeitssaldo enthaltene sonstige Forderungen (+)				
F8_LIAB_ORWB	Other accounts payable (-) included in the working balance	Autres comptes à payer (-) comprises dans dans le solde budgétaire (ou de comptabilité publique)	Im Arbeitssaldo enthaltene sonstige Verbindlichkeiten (-)				
ORWB_E	Working balance (+/-) of entities not part of the subsector	Solde d'exécution budgétaire d'unités n'appartenant pas au secteur	Arbeitsergebnisse der Einheiten, die nicht Teil des Teilsektors sind				
B9_OB	Net lending (+) /net borrowing (-) of other bodies of the subsector  included in the working balance	Capacité (+)/besoin (-) de financement d'autres unités appartenant au sous-secteur comprises dans dans le solde budgétaire (ou de comptabilité publique)	Im Arbeitssaldo enthaltener Finanzierungssaldo der sonstigen Einheiten des Teilsektors				
OROA_ORWB	Other adjustments (+/-) included in the working balance	Autres ajustements (+/-) comprises dans dans le solde budgétaire (ou de comptabilité publique)	Im Arbeitssaldo enthaltene sonstige Korrekturen (+/-)				
B9_T3	Net lending (-)/net borrowing (+) (reversed sign)	Capacité (-)/besoin (+) de financement (signe inversé)	Finanzierungsüberschuss (-)/-defizit (+) (umgekehrtes Vorzeichen)				
F_ASS	Net acquisition (+) of financial assets	Acquisition nette (+) d'actifs financiers	Nettozugang (+) an Forderungen				
F2_ASS	Net acquisition (+) of financial assets - currency and deposits	Acquisition nette (+) d'actifs financiers - monnaies et dépôts	Nettozugang (+) an Forderungen - Bargeld und Einlagen				
F3_ASS	Net acquisition (+) of financial assets - debt securities	Acquisition nette (+) d'actifs financiers - titres de créance	Nettozugang (+) an Forderungen - Schuldverschreibungen				
F4_ASS	Net acquisition (+) of financial assets - loans	Acquisition nette (+) d'actifs financiers - crédits	Nettozugang (+) an Forderungen - Kredite				
F4_ACQ_ASS	Net acquisition (+) of financial assets - loans - acquisition/increase (+)	"Acquisition nette (+) d'actifs financiers - crédits; acquisition/augmentation (+)"	"Nettozugang (+) an Forderungen - Kredite; Erwerb/Anstieg (+)"				
F4_DIS_ASS	Net acquisition (+) of financial assets - loans; disposal/reduction (-)	Acquisition nette (+) d'actifs financiers - crédits; cession/réduction (-)	Nettozugang (+) an Forderungen - Kredite; Veräußerung/Rückgang (-)				
F41_ASS	Net acquisition (+) of financial assets - short-term - loans	Acquisition nette (+) d'actifs financiers - crédits à court terme	Nettozugang (+) an Forderungen - Kurzfristige Kredite				
F42_ASS	Net acquisition (+) of financial assets - long-term - loans	Acquisition nette (+) d'actifs financiers - crédits à long terme	Nettozugang (+) an Forderungen - Langfristige Kredite				
F42_ACQ_ASS	Net acquisition (+) of financial assets - long-term loans; acquisition/increase (+)	Acquisition nette (+) d'actifs financiers - crédits à long terme; acquisition/augmentation (+)	Nettozugang (+) an Forderungen - langfristige Kredite; Erwerb/Anstieg (+)				
F42_DIS_ASS	Net acquisition (+) of financial assets - long-term loans; disposal/reduction (-)	Acquisition nette (+) d'actifs financiers - crédits à long terme; cession/réduction (-)	Nettozugang (+) an Forderungen - langfristige Kredite; Veräußerung/Rückgang (-)				
F5_ASS	Net acquisition (+) of financial assets - equity and investment fund shares/units	Acquisition nette (+) d'actifs financiers - actions et parts de fonds d'investissement	Nettozugang (+) an Forderungen - Anteilsrechte und Anteile an Investmentfonds				
F5PN_ASS	Net acquisition (+) of financial assets - equity and investment fund shares/units - portfolio investments, net	Acquisition nette (+) d'actifs financiers - actions et parts de fonds d'investissement - les investissements de portefeuille, net	Nettozugang (+) an Forderungen - Anteilsrechte und Anteile an Investmentfonds - Nettoportfolioinvestitionen				
